question,textA,textB,correct
以下哪個才是「角色」的正確讀音？,ㄐㄩㄝˊ 色,ㄐㄧㄠˇ 色,A
以下哪個才是「下載」的正確讀音？,ㄒㄧㄚˋ ㄗㄞˋ,ㄒㄧㄚˋ ㄗㄞˇ,A
以下哪個才是「龜裂」的正確讀音？,ㄐㄩㄣ 裂,ㄍㄨㄟ 裂,A
以下哪個才是「嫉妒」的正確讀音？,ㄐㄧˊ 妒,ㄐㄧˋ 妒,A
以下哪個才是「氛圍」的正確讀音？,ㄈㄣ 圍,ㄈㄣˋ 圍,A
以下哪個才是「給予」的正確讀音？,ㄐㄧˇ ㄩˇ,ㄍㄟˇ ㄩˇ,A
以下哪個才是「比較」的正確讀音？,ㄅㄧˇ ㄐㄧㄠˋ,ㄅㄧˋ ㄐㄧㄠˋ,A
以下哪個才是「呱呱墜地」的正確讀音？,ㄍㄨ ㄍㄨ,ㄍㄨㄚ ㄍㄨㄚ,A
以下哪個才是「咀嚼」的正確讀音？,ㄐㄩˇ ㄐㄩㄝˊ,ㄗㄨˇ ㄐㄩㄝˊ,A
以下哪個才是「參差」的正確讀音？,ㄘㄣ ㄘ,ㄘㄢ ㄔㄚ,A
以下哪個才是「蹣跚」的正確讀音？,ㄇㄢˊ ㄕㄢ,ㄆㄢˊ ㄕㄢ,A
以下哪個才是「睥睨」的正確讀音？,ㄆㄧˋ ㄋㄧˋ,ㄅㄧˋ ㄋㄧˋ,A
以下哪個才是「紕漏」的正確讀音？,ㄆㄧ ㄌㄡˋ,ㄅㄧ ㄌㄡˋ,A
以下哪個才是「恫嚇」的正確讀音？,ㄉㄨㄥˋ ㄏㄜˋ,ㄊㄨㄥˊ ㄏㄜˋ,A
以下哪個才是「拮据」的正確讀音？,ㄐㄧㄝˊ ㄐㄩ,ㄐㄧˊ ㄐㄩ,A
以下哪個才是「炙手可熱」的正確讀音？,ㄓˋ 手可熱,ㄐㄧㄡˋ 手可熱,A
以下哪個才是「憧憬」的正確讀音？,ㄔㄨㄥ ㄐㄧㄥˇ,ㄊㄨㄥˊ ㄐㄧㄥˇ,A
以下哪個才是「噱頭」的正確讀音？,ㄒㄩㄝˊ 頭,ㄐㄩㄝˊ 頭,A
以下哪個才是「蹉跎」的正確讀音？,ㄘㄨㄛ ㄊㄨㄛˊ,ㄔㄚ ㄊㄨㄛˊ,A
以下哪個才是「旖旎」的正確讀音？,ㄧˇ ㄋㄧˇ,ㄑㄧˇ ㄋㄧˇ,A
以下哪個才是「縈繞」的正確讀音？,ㄧㄥˊ ㄖㄠˋ,ㄖㄨㄥˊ ㄖㄠˋ,A
以下哪個才是「褻瀆」的正確讀音？,ㄒㄧㄝˋ ㄉㄨˊ,ㄒㄧㄝˋ ㄇㄞˋ,A
以下哪個才是「漣漪」的正確讀音？,ㄌㄧㄢˊ ㄧ,ㄌㄧㄢˊ ㄑㄧ,A
以下哪個才是「窠臼」的正確讀音？,ㄎㄜ ㄐㄧㄡˋ,ㄔㄠˊ ㄐㄧㄡˋ,A
以下哪個才是「倜儻」的正確讀音？,ㄊㄧˋ ㄊㄤˇ,ㄓㄡ ㄊㄤˇ,A
以下哪個才是「睚眥」的正確讀音？,ㄧㄚˊ ㄗˋ,ㄧㄚˊ ㄘˇ,A
以下哪個才是「莘莘學子」的正確讀音？,ㄕㄣ ㄕㄣ,ㄒㄧㄣ ㄒㄧㄣ,A
以下哪個才是「徜徉」的正確讀音？,ㄔㄤˊ ㄧㄤˊ,ㄊㄤˊ ㄧㄤˊ,A
以下哪個才是「剎那」的正確讀音？,ㄔㄚˋ ㄋㄚˋ,ㄕㄚ ㄋㄚˋ,A
以下哪個才是「桎梏」的正確讀音？,ㄓˋ ㄍㄨˋ,ㄓˋ ㄏㄠˋ,A
以下哪個才是「斡旋」的正確讀音？,ㄨㄛˋ ㄒㄩㄢˊ,ㄍㄢˋ ㄒㄩㄢˊ,A
以下哪個才是「邂逅」的正確讀音？,ㄒㄧㄝˋ ㄏㄡˋ,ㄐㄧㄝˋ ㄏㄡˋ,A
以下哪個才是「傀儡」的正確讀音？,ㄎㄨㄟˇ ㄌㄟˇ,ㄍㄨㄟˇ ㄌㄟˇ,A
以下哪個才是「危殆」的正確讀音？,ㄨㄟˊ ㄉㄞˋ,ㄨㄟ ㄉㄞˋ,A
以下哪個才是「紊亂」的正確讀音？,ㄨㄣˋ ㄌㄨㄢˋ,ㄨㄣˇ ㄌㄨㄢˋ,A
以下哪個才是「餽贈」的正確讀音？,ㄎㄨㄟˋ ㄗㄥˋ,ㄍㄨㄟˋ ㄗㄥˋ,A
以下哪個才是「覬覦」的正確讀音？,ㄐㄧˋ ㄩˊ,ㄎㄞˋ ㄩˊ,A
以下哪個才是「饕餮」的正確讀音？,ㄊㄠ ㄊㄧㄝˋ,ㄏㄠ ㄊㄧㄝˋ,A
以下哪個才是「魑魅魍魎」的正確讀音？,ㄔ ㄇㄟˋ,ㄌㄧˊ ㄇㄟˋ,A
以下哪個才是「泥淖」的正確讀音？,ㄋㄧˊ ㄋㄠˋ,ㄋㄧˊ ㄓㄠˋ,A
以下哪個才是「醞釀」的正確讀音？,ㄩㄣˋ ㄋㄧㄤˋ,ㄨㄣˋ ㄋㄧㄤˋ,A
以下哪個才是「慰藉」的正確讀音？,ㄨㄟˋ ㄐㄧㄝˋ,ㄨㄟˋ ㄐㄧˊ,A
以下哪個才是「雋永」的正確讀音？,ㄐㄩㄢˋ ㄩㄥˇ,ㄐㄩㄣˋ ㄩㄥˇ,A
以下哪個才是「剽悍」的正確讀音？,ㄆㄧㄠˋ ㄏㄢˋ,ㄅㄧㄠˋ ㄏㄢˋ,A
以下哪個才是「翩躚」的正確讀音？,ㄆㄧㄢ ㄒㄧㄢ,ㄆㄧㄢ ㄑㄧㄢ,A
以下哪個才是「雍容」的正確讀音？,ㄩㄥ ㄖㄨㄥˊ,ㄩㄥˇ ㄖㄨㄥˊ,A
以下哪個才是「聯袂」的正確讀音？,ㄌㄧㄢˊ ㄇㄟˋ,ㄌㄧㄢˊ ㄐㄩㄝˊ,A
以下哪個才是「寒暄」的正確讀音？,ㄏㄢˊ ㄒㄩㄢ,ㄏㄢˊ ㄋㄨㄢˇ,A
以下哪個才是「靦腆」的正確讀音？,ㄇㄧㄢˇ ㄊㄧㄢˇ,ㄉㄧㄢˇ ㄊㄧㄢˇ,A
以下哪個才是「揶揄」的正確讀音？,ㄧㄝˊ ㄩˊ,ㄧㄝˋ ㄩˊ,A
以下哪個才是「虔誠」的正確讀音？,ㄑㄧㄢˊ ㄔㄥˊ,ㄐㄧㄢ ㄔㄥˊ,A
以下哪個才是「婆娑」的正確讀音？,ㄆㄛˊ ㄙㄨㄛ,ㄆㄛˊ ㄕㄚ,A
以下哪個才是「砥礪」的正確讀音？,ㄉㄧˇ ㄌㄧˋ,ㄉㄧˇ ㄌㄞˋ,A
以下哪個才是「羈絆」的正確讀音？,ㄐㄧ ㄅㄢˋ,ㄐㄧˋ ㄅㄢˋ,A
以下哪個才是「醍醐灌頂」的正確讀音？,ㄊㄧˊ ㄏㄨˊ,ㄊㄧˋ ㄏㄨˊ,A
以下哪個才是「鞭辟入裡」的正確讀音？,ㄅㄧㄢ ㄆㄧˋ,ㄅㄧㄢ ㄅㄧˋ,A
以下哪個才是「一曝十寒」的正確讀音？,ㄧ ㄆㄨˋ,ㄧ ㄅㄠˋ,A
以下哪個才是「大腹便便」的正確讀音？,ㄆㄧㄢˊ ㄆㄧㄢˊ,ㄅㄧㄢˋ ㄅㄧㄢˋ,A
以下哪個才是「虛與委蛇」的正確讀音？,ㄧˊ,ㄕㄜˊ,A
以下哪個才是「暴虎馮河」的正確讀音？,ㄆㄧㄥˊ,ㄈㄥˊ,A
