question,textA,textB,correct
以下哪個才是「角色」的正確讀音？,ㄐㄩㄝˊ色,ㄐㄧㄠˇ色,A
以下哪個才是「下載」的正確讀音？,ㄒㄧㄚˋㄗㄞˋ,ㄒㄧㄚˋㄗㄞˇ,A
以下哪個才是「給予」的正確讀音？,ㄐㄧˇㄩˇ,ㄍㄟˇㄩˇ,A
以下哪個才是「氛圍」的正確讀音？,ㄈㄣ圍,ㄈㄣˋ圍,A
以下哪個才是「龜裂」的正確讀音？,ㄐㄩㄣ裂,ㄍㄨㄟ裂,A
以下哪個才是「嫉妒」的正確讀音？,ㄐㄧˊ妒,ㄐㄧˋ妒,A
以下哪個才是「比較」的正確讀音？,ㄅㄧˇㄐㄧㄠˋ,ㄅㄧˋㄐㄧㄠˋ,A
以下哪個才是「剎那」的正確讀音？,ㄔㄚˋㄋㄚˋ,ㄕㄚㄋㄚˋ,A
以下哪個才是「莘莘學子」的正確讀音？,ㄕㄣㄕㄣ,ㄒㄧㄣㄒㄧㄣ,A
以下哪個才是「呱呱墜地」的正確讀音？,ㄍㄨㄍㄨ,ㄍㄨㄚㄍㄨㄚ,A
以下哪個才是「咀嚼」的正確讀音？,ㄐㄩˇㄐㄩㄝˊ,ㄗㄨˇㄐㄩㄝˊ,A
以下哪個才是「參差」的正確讀音？,ㄘㄣㄘ,ㄘㄢㄔㄚ,A
以下哪個才是「蹣跚」的正確讀音？,ㄇㄢˊㄕㄢ,ㄆㄢˊㄕㄢ,A
以下哪個才是「邂逅」的正確讀音？,ㄒㄧㄝˋㄏㄡˋ,ㄐㄧㄝˋㄏㄡˋ,A
以下哪個才是「斡旋」的正確讀音？,ㄨㄛˋㄒㄩㄢˊ,ㄍㄢˋㄒㄩㄢˊ,A
以下哪個才是「恫嚇」的正確讀音？,ㄉㄨㄥˋㄏㄜˋ,ㄊㄨㄥˊㄏㄜˋ,A
以下哪個才是「拮据」的正確讀音？,ㄐㄧㄝˊㄐㄩ,ㄐㄧˊㄐㄩ,A
以下哪個才是「慰藉」的正確讀音？,ㄨㄟˋㄐㄧㄝˋ,ㄨㄟˋㄐㄧˊ,A
以下哪個才是「醞釀」的正確讀音？,ㄩㄣˋㄋㄧㄤˋ,ㄨㄣˋㄋㄧㄤˋ,A
以下哪個才是「雋永」的正確讀音？,ㄐㄩㄢˋㄩㄥˇ,ㄐㄩㄣˋㄩㄥˇ,A
以下哪個才是「覬覦」的正確讀音？,ㄐㄧˋㄩˊ,ㄎㄞˋㄩˊ,A
以下哪個才是「饕餮」的正確讀音？,ㄊㄠㄊㄧㄝˋ,ㄏㄠㄊㄧㄝˋ,A
以下哪個才是「泥淖」的正確讀音？,ㄋㄧˊㄋㄠˋ,ㄋㄧˊㄓㄠˋ,A
以下哪個才是「徜徉」的正確讀音？,ㄔㄤˊㄧㄤˊ,ㄊㄤˊㄧㄤˊ,A
以下哪個才是「傀儡」的正確讀音？,ㄎㄨㄟˇㄌㄟˇ,ㄍㄨㄟˇㄌㄟˇ,A
以下哪個才是「炙手可熱」的正確讀音？,ㄓˋ手可熱,ㄐㄧㄡˋ手可熱,A
以下哪個才是「憧憬」的正確讀音？,ㄔㄨㄥㄐㄧㄥˇ,ㄊㄨㄥˊㄐㄧㄥˇ,A
以下哪個才是「噱頭」的正確讀音？,ㄒㄩㄝˊ頭,ㄐㄩㄝˊ頭,A
以下哪個才是「蹉跎」的正確讀音？,ㄘㄨㄛㄊㄨㄛˊ,ㄔㄚㄊㄨㄛˊ,A
以下哪個才是「漣漪」的正確讀音？,ㄌㄧㄢˊㄧ,ㄌㄧㄢˊㄑㄧ,A
以下哪個才是「紕漏」的正確讀音？,ㄆㄧㄌㄡˋ,ㄅㄧㄌㄡˋ,A
以下哪個才是「危殆」的正確讀音？,ㄨㄟˊㄉㄞˋ,ㄨㄟㄉㄞˋ,A
以下哪個才是「紊亂」的正確讀音？,ㄨㄣˋㄌㄨㄢˋ,ㄨㄣˇㄌㄨㄢˋ,A
以下哪個才是「餽贈」的正確讀音？,ㄎㄨㄟˋㄗㄥˋ,ㄍㄨㄟˋㄗㄥˋ,A
以下哪個才是「褻瀆」的正確讀音？,ㄒㄧㄝˋㄉㄨˊ,ㄒㄧㄝˋㄇㄞˋ,A
以下哪個才是「窠臼」的正確讀音？,ㄎㄜㄐㄧㄡˋ,ㄔㄠˊㄐㄧㄡˋ,A
以下哪個才是「倜儻」的正確讀音？,ㄊㄧˋㄊㄤˇ,ㄓㄡㄊㄤˇ,A
以下哪個才是「寒暄」的正確讀音？,ㄏㄢˊㄒㄩㄢ,ㄏㄢˊㄋㄨㄢˇ,A
以下哪個才是「揶揄」的正確讀音？,ㄧㄝˊㄩˊ,ㄧㄝˋㄩˊ,A
以下哪個才是「婆娑」的正確讀音？,ㄆㄛˊㄙㄨㄛ,ㄆㄛˊㄕㄚ,A
以下哪個才是「砥礪」的正確讀音？,ㄉㄧˇㄌㄧˋ,ㄉㄧˇㄌㄞˋ,A
以下哪個才是「羈絆」的正確讀音？,ㄐㄧㄅㄢˋ,ㄐㄧˋㄅㄢˋ,A
以下哪個才是「大腹便便」的正確讀音？,ㄆㄧㄢˊㄆㄧㄢˊ,ㄅㄧㄢˋㄅㄧㄢˋ,A
以下哪個才是「一曝十寒」的正確讀音？,ㄆㄨˋ,ㄅㄠˋ,A
以下哪個才是「模稜兩可」的正確讀音？,ㄌㄥˊ,ㄌㄧㄥˊ,A
以下哪個才是「脊椎」的正確讀音？,ㄐㄧˇ椎,ㄐㄧˊ椎,A
以下哪個才是「徵兆」的正確讀音？,ㄓㄥ兆,ㄓㄥˋ兆,A
以下哪個才是「酗酒」的正確讀音？,ㄒㄩˋ酒,ㄒㄩ酒,A
以下哪個才是「剝削」的正確讀音？,ㄅㄛㄒㄩㄝˋ,ㄅㄠㄒㄩㄝˋ,A
以下哪個才是「檔案」的正確讀音？,ㄉㄤˇ案,ㄉㄤˋ案,A
以下哪個才是「暫時」的正確讀音？,ㄓㄢˋ時,ㄗㄢˋ時,A
以下哪個才是「症候群」的正確讀音？,ㄓㄥˋ候群,ㄓㄥ候群,A
以下哪個才是「質量」的正確讀音？,ㄓˊ量,ㄓˋ量,A
以下哪個才是「勒索」的正確讀音？,ㄌㄜˋ索,ㄌㄟˋ索,A
以下哪個才是「卡路里」的正確讀音？,ㄎㄚˇ路里,ㄎㄚ路里,A
以下哪個才是「潛移默化」的正確讀音？,ㄑㄧㄢˊ,ㄑㄧㄢˇ,A
以下哪個才是「細菌」的正確讀音？,ㄒㄧˋ菌,ㄒㄧˇ菌,A
以下哪個才是「髮夾彎」的正確讀音？,ㄈㄚˇ夾彎,ㄈㄚˋ夾彎,A
以下哪個才是「機率」的正確讀音？,ㄐㄧ率,ㄐㄧˋ率,A
以下哪個才是「血液」的正確讀音？,ㄒㄧㄝˇ液,ㄒㄩㄝˋ液,A
