question,textA,textB,correct
以下哪個才是「五条悟」的正確讀音？,ごじょうさとる,ごじょうご,A
以下哪個才是「竈門炭治郎」的正確讀音？,かまどたんじろう,かどもんたんじろう,A
以下哪個才是「嘴平伊之助」的正確讀音？,はしびらいのすけ,くちひらいのすけ,A
以下哪個才是「我妻善逸」的正確讀音？,あがつまぜんいつ,われつませんいつ,A
以下哪個才是「不死川實彌」的正確讀音？,しなずがわさねみ,ふしかわせんや,A
以下哪個才是「時透無一郎」的正確讀音？,ときとうむいちろう,じとうむいちろう,A
以下哪個才是「宇髓天元」的正確讀音？,うずいてんげん,うずいてんもと,A
以下哪個才是「悲鳴嶼行冥」的正確讀音？,ひめじまぎょうめい,かなきじまこうめい,A
以下哪個才是「栗花落香奈乎」的正確讀音？,つゆりかなを,くりはなおかなを,A
以下哪個才是「煉獄杏壽郎」的正確讀音？,れんごくきょうじゅろう,れんごくあんじゅろう,A
以下哪個才是「甘露寺蜜璃」的正確讀音？,かんろじみつり,あまつゆでらみつり,A
以下哪個才是「伊黑小芭內」的正確讀音？,いぐろおばない,いくろこばない,A
以下哪個才是「五条悟」的正確讀音？,ごじょうさとる,ごじょうさとし,A
以下哪個才是「夏油傑」的正確讀音？,げとうすぐる,なつあぶらすぐる,A
以下哪個才是「乙骨憂太」的正確讀音？,おっこつゆうた,おとこつゆうた,A
以下哪個才是「伏黑甚爾」的正確讀音？,ふしぐろとうじ,ふくぐろじんじ,A
以下哪個才是「禪院真希」的正確讀音？,ぜんいんまき,ぜんいんしんき,A
以下哪個才是「狗卷棘」的正確讀音？,いぬまきとげ,いぬまききょく,A
以下哪個才是「東堂葵」的正確讀音？,とうどうあおい,ひがしどうあおい,A
以下哪個才是「七海建人」的正確讀音？,ななみけんと,しちうみけんと,A
以下哪個才是「兩面宿儺」的正確讀音？,りょうめんすくな,りょうめんしゅくな,A
以下哪個才是「伏黑惠」的正確讀音？,ふしぐろめぐみ,ふくぐろけい,A
以下哪個才是「釘崎野薔薇」的正確讀音？,くぎさきのばら,くぎざきのしょうび,A
以下哪個才是「虎杖悠仁」的正確讀音？,いたどりゆうじ,とらづえゆうじ,A
以下哪個才是「綠谷出久」的正確讀音？,みどりやいずく,みどりたにでく,A
以下哪個才是「爆豪勝己」的正確讀音？,ばくごうかつき,ばくごうしょうき,A
以下哪個才是「轟焦凍」的正確讀音？,とどろきしょうと,ごうしょうとう,A
以下哪個才是「飯田天哉」的正確讀音？,いいだてんや,はんだてんや,A
以下哪個才是「蛙吹梅雨」的正確讀音？,あすいつゆ,かわふきうめあめ,A
以下哪個才是「八百萬百」的正確讀音？,やおよろずもも,はっぴゃくまんもも,A
以下哪個才是「相澤消太」的正確讀音？,あいざわしょうた,そうさわしょうた,A
以下哪個才是「死柄木弔」的正確讀音？,しがらきとむら,しへいぎともら,A
以下哪個才是「荼毘」的正確讀音？,だび,とび,A
以下哪個才是「歐爾麥特」的正確讀音？,オールマイト,オルマイト,A
以下哪個才是「工藤新一」的正確讀音？,くどうしんいち,こうどうしんいち,A
以下哪個才是「毛利蘭」的正確讀音？,もうりらん,けりらん,A
以下哪個才是「赤井秀一」的正確讀音？,あかいしゅういち,せきいしゅういち,A
以下哪個才是「灰原哀」的正確讀音？,はいばらあい,はいはらあい,A
以下哪個才是「安室透」的正確讀音？,あむろとおる,やすむろとおる,A
以下哪個才是「服部平次」的正確讀音？,はっとりへいじ,ふくべへいじ,A
以下哪個才是「遠山和葉」的正確讀音？,とおやまかずは,えんざんわよう,A
以下哪個才是「怪盜基德」的正確讀音？,かいとうキッド,かいとうもととく,A
以下哪個才是「目暮十三」的正確讀音？,めぐれじゅうぞう,めぐれじゅうさん,A
以下哪個才是「妃英理」的正確讀音？,きさきえり,ひえいり,A
以下哪個才是「早川秋」的正確讀音？,はやかわあき,そうせんしゅう,A
以下哪個才是「姬野」的正確讀音？,ひめの,きの,A
以下哪個才是「真紀真」的正確讀音？,マキマ,しんきしん,A
以下哪個才是「帕瓦」的正確讀音？,パワー,パワ,A
以下哪個才是「淀治」的正確讀音？,デンジ,よどはる,A
以下哪個才是「天使惡魔」的正確讀音？,てんしのあくま,てんしあくま,A
以下哪個才是「衛宮士郎」的正確讀音？,えみやしろう,えいみやしろう,A
以下哪個才是「遠坂凜」的正確讀音？,とおさかりん,えんさかりん,A
以下哪個才是「阿爾托莉雅」的正確讀音？,アルトリア,アルテリア,A
以下哪個才是「吉爾伽美什」的正確讀音？,ギルガメッシュ,ギルガメシ,A
以下哪個才是「伊莉雅絲菲爾」的正確讀音？,イリヤスフィール,イリアスフェル,A
以下哪個才是「芙莉蓮」的正確讀音？,フリーレン,フリーラン,A
以下哪個才是「欣梅爾」的正確讀音？,ヒンメル,シンメル,A
以下哪個才是「費倫」的正確讀音？,フェルン,ヘルン,A
以下哪個才是「修塔爾克」的正確讀音？,シュタルク,スタルク,A
以下哪個才是「阿烏拉」的正確讀音？,アウラ,オウラ,A
