question,textA,textB,correct
VTuber中的「V」最初代表什麼？,Virtual,Video,A
VTuber最早興起於哪個國家？,日本,美國,A
Live2D模型本質上是？,2D圖片,3D模型,A
VTuber的「畢業」通常代表？,停止活動,完成學業,A
粉絲常說的「單推」是？,主要支持一位成員,只看單人遊戲,A
粉絲常說的「箱推」是？,支持整個團體,喜歡物流紙箱,A
歌回通常是？,唱歌直播,聊天直播,A
耐久直播通常是？,達成目標前不下播,直播設備測試,A
聯動通常指？,合作直播,網路斷線,A
粉絲常說的烤肉是？,翻譯剪輯影片,料理節目,A
切片通常是？,直播精華,切水果,A
聊天室中的草通常代表？,笑聲,植物,A
SC通常是什麼？,Super Chat,Special Camera,A
VOD通常是？,直播存檔,虛擬角色設定,A
OBS最常用來？,直播推流,畫插圖,A
企業勢最大的優勢通常是？,資源較多,比較會打FPS,A
個人勢最大的特色通常是？,自行經營,一定有經紀人,A
Fan Mark通常是？,粉絲識別符號,會員卡號,A
Discord最常被拿來？,經營社群,剪影片,A
3D化最大的用途之一？,擴展演出形式,增加網速,A
VTuber說今天短台一下通常代表？,3小時以上,15分鐘,A
VTuber說最後一首通常代表？,還有好幾首,真的最後一首,A
觀眾說只是支持一下通常代表？,準備課金,準備離開,A
聊天室出現草草草草草通常代表？,笑瘋了,討論園藝,A
如果VTuber說我不會課金下一步最可能是？,刷卡,存錢,A
觀眾說我要睡了通常代表？,還會再看一小時,立刻睡著,A
聊天室最常見的技能？,雲端考古,量子力學,A
觀眾最容易記得什麼？,黑歷史,OBS版本號,A
VTuber最大的敵人通常是？,OBS,魔王,A
直播前最可怕的是？,麥克風沒聲音,外星人入侵,A
聊天室最容易發生什麼？,歪樓,世界和平,A
粉絲最擅長的是？,截圖黑歷史,修電腦,A
耐久直播最容易發生？,越播越久,準時下播,A
觀眾說我沒錢了通常代表？,還能再課一次,真的沒錢,A
開台前說不緊張的人通常？,其實很緊張,完全沒感覺,A
歌回最神奇的現象？,最後一首永遠不是最後一首,每首都很短,A
聊天室最常出現？,問號,數學公式,A
觀眾最愛看的東西？,突發事故,設定畫面,A
VTuber最怕看到？,網路斷線,太陽升起,A
直播事故最常來自？,自己,哥吉拉,A
以下哪個比較像VTuber企劃？,24小時耐久直播,24小時耐久睡覺,A
以下哪個比較容易讓粉絲破防？,宣布畢業,宣布吃水餃,A
以下哪個最符合聊天室？,說要睡覺但還在,真的睡覺,A
VTuber說設備沒問題通常代表？,快出事了,真的沒問題,A
開台前最常發生？,臨時更新,中彩票,A
聊天室最強技能？,截圖,瞬間移動,A
聯動前最怕？,技術問題,隕石,A
觀眾最愛說？,貼貼,所得稅,A
直播最容易爆炸的是？,音量,地球,A
歌回最容易出現？,版權問題,時空裂縫,A
聊天室最愛的數學題？,SC加總,微積分,A
最常見的直播Buff？,熬夜,早睡,A
VTuber最常說？,等等我設定一下,我先去開公司,A
最常見的企劃延期原因？,設備問題,火星逆行,A
觀眾最容易失控的時候？,重大公告,天氣預報,A
聊天室最會做什麼？,造梗,考古學研究,A
觀眾最容易記住？,黑歷史,硬碟容量,A
耐久直播的真正意思？,不知道幾點下播,一定準時結束,A
VTuber最常跟誰戰鬥？,OBS,哥布林,A
觀眾最大的天賦？,說要走卻不走,真的離開,A
